BEDROOM_NUM,BATHROOM_NUM,PRICE_PER_SQFT,AREA,LOCATION,FURNISH,FACING,AGE,TOTAL_FLOOR,FEATURES,BALCONY_NUM,FLOOR_NUM,CARPET_SQFT,SUPERBUILTUP_SQFT,BUILTUP_SQFT,SUPER_AREA,SUPERAREA_UNIT,SUPER_SQFT
3,3,7369-7408,1465,Kasba,Furnished,North,17,,Rain Water Harvesting,3,19,960,1465,1244,1465,,1465
,2,6624,2125,Ballygunge,,West,28,,"Swimming Pool,Gym",,8,1445,2125,1909,2125,sqm,2125-2162
1,4,12082,795,Dum Dum,,,26,20,,2,12,574,795,653,795,sqft,795
1,4,4210,3639,Ballygunge,Furnished,North,3,13,"Swimming Pool,Gym",1,7,2361,3639,3000,3639,,3639
2,,6999,3570,,,South,26,,"Power Backup,Water Supply",2,16,2461,3570-3586,3324,3570,sqft,3570
3,2,14147,2867,Garia,Unfurnished,South-West,10,,"Club House,Intercom",1,19,2114,2867,2579,2867,sqm,2867
1,3,10202,2515,Park Street,Furnished,,,,"Swimming Pool,Gym",,,1535-1577,2515,2362,2515,sq yard,2515
3,,13586,2373,Alipore,Furnished,North-East,22,,Rain Water Harvesting,0,19,1659,2373,2216,2373,,2373
3,3,8328,1891,Lake Town,Unfurnished,,17,9,"Power Backup,Water Supply",0,10,1282,1891,1520,1891,,1891
2,2,5811,2835,,Unfurnished,,11,9,Rain Water Harvesting,1,14,1953,2835-2881,2389,2835,sqft,2835
1,1,14573,3047,Garia,,North,0,5,,0,5,2141,3047,2600,3047,sqft,3047
,3,12523,2706,,Furnished,,,16,"Club House,Intercom",,10,2111,2706,2512-2561,2706,,2706
3,4,4515,3761,Tollygunge,Furnished,North,29,12,"Power Backup,Water Supply",1,12,2481,3761,3418,3761,,3761
4,4,5054,1853-1866,,Semi-Furnished,,6,12,"Lift,Security,Park",0,,1457,1853,1494-1521,1853,,1853
4,3,14001,2838,Rajarhat,Semi-Furnished,North-East,30,14,"Lift,Security,Park",,6,2122,2838,2408,2838-2855,sq yard,2838
5,3,13383,1058,Tollygunge,,South,5,9,,,1,780-806,1058,981,1058,sq yard,1058
5,2,11138,2325,Tollygunge,,,1,20,Reserved Parking,2,4,1823,2325,1961,2325,,2325
4,4,13774,1813,Ballygunge,,,,,"Club House,Intercom",1,,1315,1813,1558,1813,,1813
5,,8601,2323,,,South-West,4,1,"Lift,Security,Park",3,,1499,2323,2144,2323,,2323
4,4,2942,1083,New Town,,,18,,,2,13,826,1083,956,1083-1121,,1083
5,,6893-6922,2778,,,South-West,,8,"Power Backup,Water Supply",1,6,1684,2778-2789,2541,2778,,2778
,,13337,3787,Rajarhat,Semi-Furnished,,22,10,,1,1,2873,3787,3102,3787,sqm,3787
4,2,14017,3750-3764,,,,,19,,0,,2853,3750-3796,3319,3750-3792,,3750
5,1,14488,3804-3847,Park Street,Furnished,,,13,,,14,2657,3804,3549,3804,,3804
2,,10052-10096,3204-3231,Dum Dum,Furnished,North,20,2,,3,13,2063,3204,2978,3204,sq yard,3204
1,4,10865,1357,Salt Lake,Semi-Furnished,,16,20,"Lift,Security,Park",2,20,886,1357,1165,1357,,1357
1,4,6520,2528,Lake Town,Furnished,,,11,,1,,1553,2528,2114,2528,sq yard,2528
,2,10383,2802,Howrah,Furnished,,28,1,,3,1,2054,2802,2456,2802,,2802
3,4,5267,3569,New Town,Furnished,South,19,3,Reserved Parking,,13,2298,3569,2930,3569,,3569
,,10695,1815,,,South-West,,5,"Lift,Security,Park",,7,1289,1815-1863,1547,1815,sq yard,1815
5,4,8362,1329,Lake Town,,West,30,15,"Lift,Security,Park",1,15,992,1329,1144,1329,sq yard,1329
1,3,12712,1613,Ballygunge,Furnished,North,14,8,"Swimming Pool,Gym",3,10,1008,1613,1431,1613,,1613
1,3,2885,3092,Kasba,Unfurnished,South,10,3,,2,9,2267,3092,2521,3092,,3092-3128
5,4,8483,1166,Alipore,,,6,19,"Club House,Intercom",,20,815,1166,994,1166,,1166
,,5515,3769,Dum Dum,Furnished,,26,18,"Swimming Pool,Gym",0,4,2423,3769-3795,3144,3769,sqm,3769
,4,6394,1501,Park Street,,,22,17,Rain Water Harvesting,3,18,1020,1501,1421,1501,sq yard,1501
1,3,11300,2502,New Town,Furnished,,,6,Rain Water Harvesting,2,5,1608,2502,2347-2396,2502,,2502
4,4,14974-14989,1324,Garia,,,,5,,2,5,897,1324,1126,1324,sqm,1324-1345
5,4,10847,1876,Alipore,,,23,18,Rain Water Harvesting,1,4,1177-1203,1876,1768,1876,,1876
,2,5232,3090,Salt Lake,,,24,,,,3,1978-1997,3090,2482,3090,,3090
3,4,6546,3130,,,South,6,9,"Swimming Pool,Gym",2,,2345,3130,2808,3130,sqft,3130
4,4,11092,1127,,,East,6,5,,,17,749,1127-1153,1015,1127,sqm,1127
3,,5310-5334,1455,,,North,11,12,Rain Water Harvesting,1,,1141,1455,1338,1455,,1455
1,1,6039,3391,Rajarhat,Unfurnished,North-East,,16,,0,2,2427-2448,3391,2808,3391,sqm,3391
5,1,9225,753,,Semi-Furnished,,12,10,,2,,497,753,636,753,sqm,753
1,2,11336,1308,,Unfurnished,,25,5,"Club House,Intercom",0,14,1007,1308,1219,1308,,1308
2,1,6838,2356,Tollygunge,,South,,,Rain Water Harvesting,2,11,1632,2356,2120,2356-2390,,2356
4,,2291-2304,607,Tollygunge,,North,18,,,1,5,450,607-652,542,607,,607
4,3,7611,1013,,,South,,,"Club House,Intercom",1,16,792-838,1013,823,1013,,1013-1029
1,1,7953,2579,Rajarhat,Semi-Furnished,,11,6,Rain Water Harvesting,2,,1800,2579,2317,2579,,2579
,4,10651,2537,New Town,Furnished,South,28,5,"Swimming Pool,Gym",,9,1597,2537,2203,2537,,2537
,1,6247-6268,1067,Jadavpur,,West,6,6,"Lift,Security,Park",0,19,643,1067-1110,972,1067,sqft,1067
4,3,9414,719-747,,Furnished,,12,,Reserved Parking,3,,477,719,595,719,sq yard,719
4,,12343-12366,2075,Tollygunge,Unfurnished,North,25,7,"Club House,Intercom",1,4,1324,2075,1922,2075,,2075
5,1,12722,1151-1185,,Semi-Furnished,,25,11,,3,8,797,1151,931,1151,,1151
,4,2665,3035-3047,Dum Dum,Furnished,,24,10,,3,17,1906-1944,3035,2854,3035-3048,sqft,3035
5,2,12894,1613-1660,Lake Town,Unfurnished,,3,7,"Swimming Pool,Gym",1,16,1281,1613,1385,1613-1644,sqm,1613-1628
2,1,10171,3998,Behala,,,,9,,1,,2453,3998-4013,3353,3998,sqm,3998
2,3,10096,3716,Howrah,,East,9,4,"Lift,Security,Park",,15,2876,3716,3366,3716,sqm,3716
,3,13636,1696,Alipore,,West,,,,3,14,1216,1696,1392-1432,1696-1732,,1696
4,2,9692,3126,Rajarhat,,,,13,"Power Backup,Water Supply",1,7,2462,3126,2518,3126,sqft,3126
3,2,13332,1651,Behala,,West,,12,"Power Backup,Water Supply",,11,1129,1651,1383,1651,,1651
2,3,10869,3625,Dum Dum,Furnished,,,15,,3,14,2786,3625,3380,3625,sqft,3625
,1,13608,1846,Tollygunge,,South-West,,,Reserved Parking,1,10,1449,1846,1517,1846,sqm,1846
2,3,4731,3194-3240,,Furnished,East,,,"Lift,Security,Park",1,14,1982-2023,3194,2952,3194,,3194
2,1,4979,1319,Garia,,,,8,,3,17,858,1319,1159,1319,,1319
4,1,4620,2013,Ballygunge,Unfurnished,,5,5,Reserved Parking,3,13,1542,2013,1861,2013,sqft,2013
4,2,10804,639,Lake Town,Furnished,West,9,2,Reserved Parking,,2,484,639-680,542,639,sqft,639
,4,6599,752,Jadavpur,,East,,1,Rain Water Harvesting,3,13,535,752,643,752-778,sqft,752
4,4,7758,2858,New Town,,West,30,17,Rain Water Harvesting,0,12,1933,2858,2573,2858,,2858
,3,6282-6329,3075,Dum Dum,Unfurnished,North,20,12,,0,12,2355,3075,2823,3075,,3075
,,11257,1447,Tollygunge,Semi-Furnished,,,9,"Swimming Pool,Gym",3,14,1112,1447,1219,1447-1471,sq yard,1447
3,1,9638,2360,Park Street,Semi-Furnished,North,10,19,Reserved Parking,,,1478,2360,1997,2360,,2360
3,4,13390,2977,New Town,Furnished,,29,12,,2,7,2153,2977-3003,2722,2977,,2977-2991
1,4,13364,2749,,,,24,7,"Swimming Pool,Gym",2,17,1930,2749,2344,2749,,2749-2779
1,4,13600,478,Park Street,,North-East,10,,"Power Backup,Water Supply",0,11,355-379,478,418,478,,478
5,4,3189,2067,,Furnished,,21,3,,2,11,1653,2067,1916,2067,,2067
2,1,4270,889-921,Park Street,,,6,4,Reserved Parking,2,8,589,889,843,889,,889
3,1,6305,2974,Salt Lake,Furnished,East,25,14,Reserved Parking,1,19,2340,2974,2517,2974,sqm,2974
3,4,13019,3968,Kasba,,,,17,"Swimming Pool,Gym",2,,2961,3968,3393,3968,sqm,3968
,4,13674,1449,Ballygunge,,,18,9,"Club House,Intercom",1,7,992,1449-1471,1225,1449,sq yard,1449
3,1,10638,766,Jadavpur,Unfurnished,South,12,11,,2,12,578-604,766,724,766,sqm,766
4,4,5831,2502,,Semi-Furnished,West,12,11,,2,,1709,2502,2284,2502,,2502
,,6159,2596,,Semi-Furnished,South-West,30,18,,2,8,1605,2596,2257,2596,,2596
4,1,5841,3088,Jadavpur,Furnished,East,,5,Rain Water Harvesting,0,8,2420,3088,2641,3088,sq yard,3088-3103
3,,8210,2324,Kasba,,West,,8,Rain Water Harvesting,2,14,1472,2324,2126,2324,sqft,2324
1,2,11417,2353,Behala,,,7,11,"Power Backup,Water Supply",0,20,1870,2353,2052,2353,,2353
4,2,5483,2164,Howrah,Semi-Furnished,North-East,19,16,,1,20,1524,2164,1953,2164,,2164
5,,7160,2660,Garia,,North,18,12,,0,16,1727,2660,2466,2660,,2660
5,1,7449,2388,Tollygunge,Semi-Furnished,South,30,1,"Lift,Security,Park",0,,1611,2388,2183-2196,2388,,2388
3,,6816,2751,,Unfurnished,North,8,9,"Lift,Security,Park",1,9,2124-2140,2751,2217,2751,sqm,2751
3,,11137,2233,Tollygunge,Unfurnished,South,25,,Rain Water Harvesting,0,,1432,2233,1846,2233,sqft,2233
1,2,2175,3054,New Town,Unfurnished,South,1,5,Rain Water Harvesting,,,2237,3054,2556,3054,sq yard,3054
1,2,8653,3854,,,South-West,23,3,Reserved Parking,,14,2603,3854,3140,3854,sq yard,3854
1,,3682,1466,New Town,,East,4,1,"Club House,Intercom",3,0,1004,1466,1205,1466,,1466
4,2,11070,932,Behala,Unfurnished,North,,2,Reserved Parking,,20,703,932,842,932,,932
,3,10641,3819,,,North-East,30,,Rain Water Harvesting,2,14,2426,3819,3484,3819,,3819
5,2,6433,1884,Howrah,Furnished,East,3,3,Rain Water Harvesting,,11,1316,1884,1565-1596,1884,sq yard,1884
5,,11894-11944,3100,Rajarhat,,,12,,Reserved Parking,,4,2390,3100-3129,2504,3100,,3100
,1,13116,1939,,,,7,4,"Lift,Security,Park",,18,1497,1939,1559,1939,,1939
5,1,12397,952,Kasba,,,,20,,3,11,614,952,801-850,952,sqm,952
2,4,6336-6378,1994,Alipore,Semi-Furnished,West,,11,Reserved Parking,1,11,1367-1385,1994,1595,1994,,1994-2021
4,3,14218,2478,Kasba,,,26,13,,2,,1718,2478,2282,2478,sqft,2478
2,,6831,2506,Lake Town,,South,7,15,Reserved Parking,,5,1521,2506,2117,2506,,2506-2548
3,3,7968,3937,Ballygunge,Semi-Furnished,,4,16,"Lift,Security,Park",3,,2774,3937,3426,3937-3959,,3937
,3,9217,3407,Dum Dum,,,0,11,"Club House,Intercom",3,11,2434,3407,3140,3407,,3407
,,13990,3210,,,East,1,2,"Swimming Pool,Gym",3,0,2231,3210-3235,2818,3210,,3210
1,2,4031,631,Jadavpur,,,6,11,,2,14,429,631,520,631,,631
3,2,9553,2004-2015,Park Street,Semi-Furnished,North,20,,,2,,1370,2004,1840,2004,sqm,2004
1,,12200,3519,Howrah,,,3,2,Reserved Parking,,16,2206,3519,3235,3519,,3519
1,4,8264,914,Garia,,North-East,8,19,"Swimming Pool,Gym",2,7,672,914,753,914,,914
4,1,6204,809,Ballygunge,,,18,6,Reserved Parking,2,15,498-512,809,749,809,,809
3,3,10608,3130-3179,Dum Dum,,North,29,14,,3,5,2457,3130,2900-2923,3130-3150,,3130
1,2,8586,3584,Salt Lake,Unfurnished,North,4,1,"Swimming Pool,Gym",2,11,2226,3584,3206,3584,sqm,3584
,3,13710,2873,New Town,Unfurnished,,14,12,"Power Backup,Water Supply",1,18,2063,2873,2502,2873,,2873
3,3,9700,2808,Rajarhat,,,,16,"Power Backup,Water Supply",1,13,1989,2808,2356,2808,,2808
,2,14463,740,Tollygunge,Furnished,North,21,17,"Lift,Security,Park",2,,445,740,653,740,sq yard,740
1,4,2084,964,Kasba,Unfurnished,,10,7,"Power Backup,Water Supply",1,16,699-737,964,774-820,964,,964
4,4,8633,2461,Dum Dum,,,,9,,0,17,1687,2461,2195,2461,sqm,2461
2,4,7442,545,Jadavpur,,,20,13,"Club House,Intercom",2,,360,545,461,545,sqm,545
2,,12433,1051,Alipore,,West,2,9,"Power Backup,Water Supply",2,11,809-828,1051,845,1051,,1051
5,4,14651,788,New Town,,East,17,2,Reserved Parking,,,489-512,788,642,788,,788
2,4,12766-12805,3664,New Town,Semi-Furnished,West,20,,"Lift,Security,Park",2,9,2767,3664,2954,3664,sq yard,3664-3677
1,2,10271,2465-2478,Howrah,,West,22,1,,2,2,1794,2465,2090,2465,,2465-2485
4,1,5910,937-984,New Town,,South-West,20,18,,,13,726,937,838,937,sqm,937
,4,4477,3374,Ballygunge,Semi-Furnished,,26,9,Reserved Parking,1,14,2515,3374,2828,3374,,3374
,3,7546,975-993,Jadavpur,Semi-Furnished,South-West,8,13,,3,15,669,975,922,975,,975
,2,5411,1353,Salt Lake,,East,12,4,,0,2,1067,1353,1085,1353,,1353
2,2,12897,848,Ballygunge,,North-East,8,15,,,2,537,848,715,848,sq yard,848
3,1,7335,3069,New Town,Unfurnished,North,,4,,,20,2206,3069-3079,2710,3069,sqm,3069
1,2,13026-13045,2310,Park Street,,East,10,11,,,11,1542,2310,2058,2310,,2310
,3,8419,2721,Lake Town,Furnished,,25,2,Rain Water Harvesting,,18,1646,2721,2206,2721,,2721
5,,7259,2175,Salt Lake,Unfurnished,East,28,1,,,,1515,2175,1838,2175,sqft,2175
4,3,5607,2145,,Unfurnished,,1,1,Rain Water Harvesting,1,14,1660,2145,1939,2145,sq yard,2145-2170
3,1,10308,1475-1498,Dum Dum,,South,25,18,"Swimming Pool,Gym",2,7,1119,1475,1354,1475,sqft,1475
4,4,11780,2661,Behala,,,18,11,Reserved Parking,3,19,1859,2661,2503,2661,sqm,2661
1,1,7303,906,Salt Lake,,North,30,18,"Power Backup,Water Supply",,2,647,906-923,761,906,sq yard,906-939
5,1,12625,1722,,,North,30,7,,3,9,1335,1722,1531,1722,,1722-1738
,2,10756,2352,Rajarhat,,East,21,12,,,11,1578,2352,1982,2352,,2352-2398
1,2,8063,1132,Dum Dum,,East,4,11,,0,3,895,1132,973,1132,sqft,1132
,1,6060,1749,,Unfurnished,North-East,,1,Rain Water Harvesting,,8,1205,1749,1455,1749,sq yard,1749
1,,3850,436,Park Street,,,22,,,0,,278,436,371,436,sqm,436
,4,2174,1100,,Unfurnished,,4,16,,1,17,844,1100,946,1100,,1100
2,2,2077,1802,Tollygunge,,North-East,,,Reserved Parking,,2,1386,1802,1574,1802,sqm,1802
3,4,3346,1328,Jadavpur,,,15,8,Reserved Parking,2,5,934-945,1328,1211,1328,sqft,1328
,4,7263,2483,,,North,5,19,"Swimming Pool,Gym",0,,1508,2483,2322,2483,,2483
5,1,8245,2479,,Unfurnished,,0,14,,1,8,1803-1826,2479,2308-2355,2479,,2479
,,8280,1046,,,East,,1,"Lift,Security,Park",,18,777,1046,933,1046,,1046-1072
2,,5299,3488,Ballygunge,,East,27,12,,,2,2670,3488,2923,3488,,3488
,3,13788,3696,Garia,,,28,11,"Club House,Intercom",1,,2427,3696,3469,3696,,3696
1,1,4205,2704,Salt Lake,,South-West,8,14,"Swimming Pool,Gym",2,2,1918,2704,2198,2704,,2704
2,3,14778,3550,Ballygunge,,East,19,17,,3,14,2330,3550,3069,3550,,3550
2,1,8539,3173,Jadavpur,Unfurnished,,15,1,"Power Backup,Water Supply",2,7,2313,3173,2797-2809,3173,,3173-3190
5,2,12162,2910,Behala,,,17,19,,,0,2261,2910-2960,2684,2910,sqft,2910
3,4,6331,2781,Rajarhat,,North-East,11,4,Reserved Parking,,6,1821,2781,2417,2781,,2781-2815
1,2,8258,467,Tollygunge,Furnished,South,1,,"Swimming Pool,Gym",2,3,355,467,432,467,sqm,467
4,2,6363,1623,,,West,29,6,"Power Backup,Water Supply",0,16,1206,1623,1401,1623,sqm,1623
2,,2427,1808,Ballygunge,Unfurnished,North-East,,10,Rain Water Harvesting,2,14,1429,1808,1574,1808,,1808
5,3,11882,1937,Dum Dum,,South,23,13,,3,9,1442,1937,1794,1937,sqft,1937
2,,5498,3605,,Semi-Furnished,West,6,13,,3,4,2609,3605-3652,3414,3605,,3605
4,3,14112,1943,Howrah,Semi-Furnished,,20,9,"Lift,Security,Park",,19,1174,1943,1688,1943,sqm,1943
3,2,10075,1685,Rajarhat,Furnished,,27,8,,2,3,1126,1685,1500,1685,,1685-1698
1,3,14844,3663,New Town,Semi-Furnished,West,6,19,Reserved Parking,1,10,2672,3663,3260,3663,,3663
,1,11905,2602-2615,New Town,Unfurnished,West,10,7,Reserved Parking,3,19,1734,2602,2094,2602,,2602
2,2,11641-11654,1965-2009,Alipore,Unfurnished,,18,,"Lift,Security,Park",0,0,1262-1298,1965,1607,1965,,1965
4,3,12395-12431,1751,New Town,Semi-Furnished,,24,13,,0,14,1172,1751,1556,1751,,1751
1,1,6013-6060,1253,Alipore,Unfurnished,,15,,Reserved Parking,1,10,779,1253,1164,1253,sqm,1253
,4,8372,3723,,,,14,17,,,,2720,3723,3004,3723,sqm,3723
,1,13057,3731,Dum Dum,,South-West,21,14,"Power Backup,Water Supply",3,,2729,3731,3032,3731,sq yard,3731
,1,11381,3628,Lake Town,Furnished,North,3,13,"Power Backup,Water Supply",1,0,2610,3628,2908,3628,,3628
4,2,11412-11458,2500-2536,Garia,,,11,19,,,12,1816,2500,2038,2500,sq yard,2500
1,4,3855,2463,Park Street,,West,7,19,,3,7,1594,2463,2311,2463,,2463
2,,2188-2207,766,Rajarhat,,,28,10,Reserved Parking,0,5,480,766,622-669,766,sq yard,766
2,,11667,1765,Alipore,,South-West,4,3,"Power Backup,Water Supply",,2,1393,1765,1549,1765,sq yard,1765
4,,3721,2429,,,South-West,,19,,3,15,1601,2429,2001,2429,,2429
1,1,11864,3467,Park Street,Unfurnished,,,,"Power Backup,Water Supply",1,17,2726,3467,2835,3467,sqm,3467
1,4,13695-13718,3499,Rajarhat,,,24,17,"Power Backup,Water Supply",3,1,2141-2183,3499,3052,3499,sq yard,3499
4,1,2713,2389-2414,Kasba,,South-West,,20,"Power Backup,Water Supply",,3,1883,2389,2217,2389,,2389
4,1,11677,2236,Dum Dum,,,13,19,,1,20,1358,2236,1805,2236,sqm,2236-2285
2,4,3358,3291,Park Street,Semi-Furnished,,10,9,Reserved Parking,,14,2170,3291,2767,3291,sqft,3291
2,,3827,3202,Behala,,,,18,,2,12,2404,3202,2662,3202,,3202
2,3,12797,3217,,Semi-Furnished,,7,16,Rain Water Harvesting,3,,1950,3217,2868,3217,,3217
5,3,9712,1185,,Furnished,East,13,1,,3,14,788,1185,1066,1185,sq yard,1185
4,2,14416,432,Lake Town,,,25,15,"Swimming Pool,Gym",0,,327-337,432-460,374,432,,432
2,,11489,3109,Kasba,,,2,17,,2,14,2446,3109,2906,3109-3151,,3109
1,,7110,437,,Unfurnished,West,29,5,"Power Backup,Water Supply",,,322,437,389,437,,437
5,1,12649,564,Howrah,Unfurnished,North-East,3,,"Power Backup,Water Supply",2,9,383,564,513,564,sqft,564
,1,10919,2730-2753,Dum Dum,,South-West,30,12,,1,12,2146,2730,2313,2730,sq yard,2730
3,,6031,3336,Howrah,,West,,4,,1,0,2192,3336-3364,2877,3336,sqft,3336
4,2,6823,3846-3882,,Unfurnished,South,24,18,,0,5,2449,3846,3426,3846,,3846
2,3,3490,664,New Town,,North,,1,Reserved Parking,,11,502,664,564,664,sqft,664
2,,4368,2482,Lake Town,Furnished,South-West,29,1,"Lift,Security,Park",0,,1932,2482,2137,2482,sq yard,2482
4,3,7152,3272,Garia,,North-East,6,17,Rain Water Harvesting,3,11,2507,3272,2840,3272-3318,,3272
,4,7974,3286,Salt Lake,,,23,2,"Swimming Pool,Gym",,16,2107,3286,2823,3286,,3286
4,1,2096,1038,Ballygunge,,,6,12,Rain Water Harvesting,,19,774,1038-1067,921,1038,,1038
1,4,2934,1451,Ballygunge,Unfurnished,,21,,,3,19,1038,1451,1252,1451,sqm,1451
1,1,14986,1541,,Unfurnished,,21,11,"Lift,Security,Park",1,,1128,1541,1309,1541,,1541
,3,8444,2458,Behala,Semi-Furnished,North,29,8,,2,7,1835,2458,2275,2458,sqm,2458-2479
1,,14020,1783,Salt Lake,,North,27,,"Club House,Intercom",1,0,1235,1783-1826,1666,1783,,1783
3,,11681,1351,Lake Town,,,17,,"Club House,Intercom",1,18,1002,1351,1246,1351,sqft,1351-1396
5,1,9133,1130,Ballygunge,Furnished,South,14,7,Rain Water Harvesting,,17,884,1130,921,1130,,1130
3,1,3465,532,Ballygunge,,,11,4,,,5,378,532,500,532,sq yard,532
5,1,11905,1861,Tollygunge,Semi-Furnished,,0,14,Reserved Parking,,,1226,1861,1687,1861,sq yard,1861
5,4,8879,3209,,Furnished,South,4,16,Reserved Parking,3,1,2309,3209-3259,2622,3209,sqm,3209
,4,6077,3292,Salt Lake,Unfurnished,West,22,2,,3,8,2081,3292,2785,3292,sqft,3292-3302
4,3,10894,1971,,Furnished,South,17,14,,,9,1575,1971,1829,1971,,1971
1,4,3480-3519,873,Alipore,,East,25,14,,1,6,564,873,779-814,873,,873
1,,3040,3506,Rajarhat,Semi-Furnished,,19,17,"Club House,Intercom",3,,2651,3506,3226,3506,sqm,3506
1,,8713,3160,Garia,,,4,8,"Club House,Intercom",2,10,2021,3160,2859,3160,sqm,3160
2,,6266,1103,New Town,Semi-Furnished,East,25,19,,3,1,873,1103,985,1103,sqft,1103
4,1,5364,555,Alipore,Unfurnished,North,6,16,Rain Water Harvesting,0,3,438-460,555,517-536,555,sqm,555
,1,4465,2736,New Town,Semi-Furnished,,26,14,"Swimming Pool,Gym",,19,1795,2736,2537-2557,2736,sqft,2736
5,2,2603,3185,Ballygunge,,East,9,15,Reserved Parking,2,14,2012,3185,2958-2995,3185,sq yard,3185
4,1,10365,978,Kasba,,,,7,Reserved Parking,,,697,978,858,978,,978
3,2,3812,3711,,,,29,10,,1,4,2483,3711,2972,3711,sqm,3711
5,3,10322,3722,Rajarhat,,East,2,11,"Club House,Intercom",1,,2693,3722,3361,3722,sqm,3722
2,4,13634,2421-2460,Lake Town,Semi-Furnished,,26,16,,1,4,1649,2421,2117,2421,,2421
5,2,7752,2872,Garia,Unfurnished,West,7,19,,3,17,2095,2872,2356,2872-2895,sq yard,2872
5,,4285,2843,Rajarhat,Unfurnished,North-East,11,7,Rain Water Harvesting,2,3,1841,2843,2607,2843,,2843
4,1,9659-9703,1857-1872,Dum Dum,Unfurnished,East,27,14,"Club House,Intercom",0,8,1333,1857,1593,1857,,1857
,3,14089,973,Park Street,,North,14,14,,2,1,659,973,835,973,sqm,973
,3,4799,2781,Jadavpur,,,8,7,,1,9,1814,2781,2623,2781,sqm,2781
2,2,3295,657-686,Kasba,,North,1,6,"Lift,Security,Park",,15,459,657,603,657,,657
4,,12893,3034,Alipore,,,,8,,3,4,2035,3034,2435,3034,,3034
4,3,5034,696,Kasba,,,22,13,,0,,435,696,592,696,,696
1,2,13320,1711,Tollygunge,Semi-Furnished,,0,20,,1,0,1345-1363,1711,1621,1711-1724,,1711-1747
5,2,9440,3659,,Furnished,North-East,10,16,"Swimming Pool,Gym",,7,2722,3659,3237,3659-3671,,3659
,4,10979,683,Alipore,Semi-Furnished,,15,12,"Swimming Pool,Gym",0,10,488,683,592-602,683,,683
1,,11764,445,Salt Lake,Furnished,North-East,7,19,,2,15,283-312,445,364,445,sqft,445
2,3,11532,554,Alipore,,North-East,25,10,"Lift,Security,Park",,11,426,554,469,554,sq yard,554
,3,9282,2213,Park Street,Semi-Furnished,East,,,,0,11,1482-1528,2213,1957,2213,,2213
5,,11901,2130,Tollygunge,Furnished,North-East,8,2,"Swimming Pool,Gym",0,7,1290,2130,1826,2130-2174,sqft,2130
2,4,12308,2582,Garia,,North-East,10,6,,0,17,1655,2582,2196,2582,,2582
4,,13801,1654,,,North-East,30,10,Reserved Parking,1,15,1104-1129,1654,1544,1654,,1654
,2,14787,3251,Park Street,Unfurnished,West,30,15,,,19,2334,3251,2984,3251,,3251
1,,11644,739,Jadavpur,Unfurnished,North-East,0,11,Rain Water Harvesting,3,17,498,739,628,739,,739
4,,13864-13885,2071,Rajarhat,Semi-Furnished,West,11,1,Rain Water Harvesting,3,,1353,2071,1661,2071,sq yard,2071
1,1,11939,2718-2732,Park Street,,,19,1,"Swimming Pool,Gym",0,10,2165,2718,2525,2718,sqft,2718-2736
1,,8621,3907,Rajarhat,,West,,8,"Power Backup,Water Supply",0,13,2497,3907,3319,3907,,3907
5,1,4547,3287,Lake Town,,South,30,14,,1,18,2099,3287,2828,3287,sq yard,3287
,,13350,996,Howrah,,South,28,20,Rain Water Harvesting,,17,660,996,945,996-1029,,996
4,4,11946,2674,Howrah,,,30,10,Rain Water Harvesting,2,,1830,2674,2144-2164,2674,sqft,2674
3,3,6011,832,Jadavpur,,,,16,"Lift,Security,Park",0,7,555,832,745,832,sqm,832
4,1,6382,1307,,,,9,,,2,17,829-877,1307,1124,1307,sqft,1307
1,,8315,507-545,Jadavpur,Unfurnished,South-West,0,,,3,,374,507,454,507,,507-537
3,2,5459,1938,Lake Town,Unfurnished,,13,10,"Power Backup,Water Supply",1,16,1508,1938,1651,1938,,1938
1,4,4240,2488,,Semi-Furnished,,24,15,,1,,1981,2488,2171,2488,sqft,2488
4,2,7473,2019,Howrah,,South-West,1,7,,0,17,1387,2019-2062,1748-1774,2019,sq yard,2019
3,,12972,3082,Tollygunge,Furnished,,7,17,,3,4,2101,3082-3102,2547,3082-3125,,3082
4,1,5690,2546,Lake Town,,North-East,30,,,,11,1969-1991,2546,2290-2309,2546,,2546
5,2,9893,1364,Park Street,,South,16,3,,1,18,1023,1364,1278,1364,,1364
,4,7013,3218,New Town,Unfurnished,,0,9,Reserved Parking,3,9,1946,3218,2836,3218,sq yard,3218
4,4,7129,2463,Behala,Semi-Furnished,North-East,1,18,"Power Backup,Water Supply",1,12,1549,2463,2003,2463,sq yard,2463
5,,3895,3743,Jadavpur,Semi-Furnished,,27,4,,,1,2366,3743,3087,3743,,3743
1,3,10944,783,Behala,Semi-Furnished,South-West,5,15,,0,,480,783,725,783,sqm,783
3,2,11397,3690,Rajarhat,,,,,"Club House,Intercom",3,15,2396,3690-3722,3413,3690,sqft,3690
4,2,7362,1526,Salt Lake,,South,26,9,Reserved Parking,,7,1009,1526,1286,1526,,1526
2,1,13912,3220,,,,23,,,,5,1944,3220,2733,3220,,3220
,3,5778,3350-3384,Dum Dum,Semi-Furnished,South,14,5,,1,16,2153,3350,3060,3350,sqft,3350
1,3,4686-4708,1420,Tollygunge,,,17,6,,2,,972,1420,1181,1420-1470,sq yard,1420
3,3,11790,470,Park Street,Semi-Furnished,North,2,16,,1,11,337,470,388-412,470,,470
4,4,12179,3421,Jadavpur,Semi-Furnished,,12,9,,,18,2373,3421,2987,3421,,3421-3467
